# id,sentiment
0,3
1,1
2,3
3,3
4,2
5,2
6,1
7,2
8,1
9,3
10,3
11,1
12,2
13,2
14,3
15,0
16,3
17,1
18,1
19,1
20,1
21,2
22,2
23,2
24,1
25,1
26,2
27,3
28,1
29,1
30,2
31,2
32,1
33,1
34,3
35,2
36,2
37,3
38,3
39,3
40,3
41,3
42,1
43,1
44,0
45,1
46,1
47,3
48,2
49,2
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,1
59,2
60,2
61,0
62,0
63,3
64,3
65,3
66,3
67,3
68,2
69,2
70,2
71,2
72,0
73,1
74,3
75,4
76,2
77,3
78,3
79,4
80,2
81,3
82,3
83,3
84,3
85,2
86,3
87,2
88,3
89,3
90,1
91,2
92,2
93,3
94,1
95,3
96,3
97,0
98,0
99,2
100,2
101,1
102,1
103,3
104,3
105,4
106,3
107,2
108,2
109,1
110,1
111,3
112,1
113,1
114,1
115,1
116,2
117,3
118,1
119,1
120,3
121,3
122,3
123,3
124,1
125,1
126,1
127,2
128,2
129,3
130,3
131,3
132,2
133,2
134,2
135,2
136,1
137,2
138,2
139,3
140,3
141,3
142,3
143,3
144,3
145,1
146,2
147,3
148,3
149,2
150,2
151,3
152,3
153,4
154,3
155,1
156,2
157,3
158,0
159,1
160,2
161,1
162,3
163,3
164,3
165,2
166,2
167,1
168,2
169,2
170,2
171,2
172,3
173,1
174,3
175,3
176,3
177,2
178,3
179,3
180,1
181,2
182,2
183,2
184,2
185,1
186,2
187,2
188,1
189,2
190,1
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,4
199,4
200,1
201,2
202,4
203,3
204,3
205,3
206,2
207,2
208,3
209,1
210,1
211,2
212,3
213,2
214,1
215,2
216,3
217,1
218,1
219,2
220,2
221,3
222,3
223,3
224,1
225,1
226,1
227,3
228,3
229,3
230,3
231,0
232,4
233,2
234,2
235,0
236,1
237,2
238,3
239,3
240,3
241,4
242,2
243,2
244,2
245,1
246,3
247,3
248,3
249,2
250,2
251,3
252,2
253,1
254,1
255,2
256,3
257,2
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,1
266,2
267,2
268,2
269,3
270,2
271,1
272,1
273,2
274,3
275,3
276,3
277,3
278,1
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,3
288,3
289,2
290,0
291,1
292,2
293,3
294,3
295,4
296,2
297,3
298,3
299,2
300,3
301,3
302,2
303,2
304,2
305,3
306,3
307,1
308,3
309,2
310,3
311,1
312,2
313,3
314,2
315,2
316,1
317,1
318,3
319,3
320,3
321,3
322,3
323,3
324,4
325,3
326,2
327,2
328,1
329,1
330,3
331,1
332,3
333,3
334,3
335,1
336,2
337,3
338,2
339,3
340,1
341,3
342,3
343,3
344,2
345,2
346,2
347,3
348,2
349,1
350,4
351,1
352,2
353,3
354,3
355,2
356,2
357,1
358,1
359,2
360,2
361,3
362,2
363,3
364,1
365,3
366,3
367,3
368,1
369,1
370,3
371,3
372,1
373,3
374,2
375,3
376,3
377,3
378,3
379,3
380,3
381,1
382,1
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,2
391,3
392,3
393,3
394,1
395,1
396,1
397,1
398,3
399,3
400,2
401,1
402,3
403,1
404,1
405,0
406,4
407,1
408,0
409,1
410,0
411,0
412,2
413,2
414,3
415,3
416,2
417,3
418,3
419,1
420,3
421,3
422,3
423,4
424,2
425,1
426,4
427,3
428,2
429,1
430,2
431,2
432,3
433,3
434,2
435,3
436,3
437,2
438,3
439,3
440,2
441,3
442,3
443,3
444,2
445,2
446,2
447,1
448,3
449,2
450,3
451,3
452,1
453,3
454,1
455,2
456,3
457,3
458,3
459,1
460,2
461,3
462,2
463,2
464,2
465,2
466,2
467,3
468,3
469,2
470,3
471,2
472,3
473,3
474,3
475,1
476,1
477,3
478,3
479,3
480,1
481,2
482,1
483,1
484,3
485,2
486,3
487,3
488,3
489,3
490,1
491,2
492,2
493,3
494,3
495,2
496,2
497,3
498,3
499,1
500,3
501,3
502,3
503,2
504,2
505,1
506,1
507,3
508,2
509,2
510,3
511,2
512,2
513,2
514,1
515,0
516,4
517,3
518,3
519,2
520,2
521,4
522,2
523,1
524,2
525,2
526,2
527,2
528,2
529,2
530,1
531,1
532,1
533,3
534,2
535,2
536,3
537,2
538,2
539,2
540,3
541,0
542,0
543,2
544,3
545,3
546,1
547,2
548,3
549,2
550,2
551,4
552,3
553,3
554,3
555,2
556,3
557,1
558,1
559,1
560,1
561,1
562,1
563,3
564,2
565,2
566,2
567,3
568,3
569,3
570,3
571,1
572,2
573,1
574,3
575,2
576,3
577,2
578,3
579,3
580,3
581,2
582,2
583,2
584,3
585,3
586,0
587,1
588,2
589,2
590,2
591,2
592,3
593,3
594,3
595,3
596,3
597,3
598,1
599,1
600,3
601,2
602,2
603,1
604,3
605,2
606,3
607,3
608,2
609,4
610,3
611,3
612,4
613,3
614,2
615,3
616,3
617,2
618,2
619,1
620,3
621,3
622,3
623,3
624,3
625,3
626,4
627,4
628,4
629,3
630,3
631,3
632,1
633,2
634,1
635,2
636,2
637,2
638,1
639,3
640,3
641,2
642,3
643,3
644,4
645,3
646,3
647,0
648,2
649,3
650,1
651,3
652,1
653,1
654,1
655,1
656,2
657,2
658,3
659,3
660,2
661,4
662,2
663,2
664,2
665,3
666,4
667,1
668,2
669,3
670,1
671,3
672,3
673,3
674,1
675,4
676,4
677,4
678,1
679,1
680,3
681,3
682,3
683,3
684,2
685,2
686,2
687,3
688,3
689,1
690,1
691,3
692,2
693,3
694,3
695,3
696,0
697,0
698,0
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,4
707,2
708,3
709,1
710,1
711,1
712,3
713,3
714,0
715,0
716,3
717,2
718,2
719,3
720,3
721,3
722,3
723,3
724,3
725,2
726,2
727,3
728,3
729,1
730,0
731,0
732,1
733,1
734,2
735,2
736,3
737,1
738,1
739,1
740,2
741,4
742,2
743,3
744,3
745,3
746,1
747,3
748,3
749,3
750,3
751,3
752,3
753,2
754,2
755,2
756,2
757,2
758,2
759,2
760,1
761,3
762,2
763,0
764,3
765,3
766,1
767,3
768,2
769,2
770,2
771,2
772,2
773,2
774,3
775,1
776,3
777,1
778,1
779,1
780,3
781,2
782,2
783,3
784,3
785,1
786,2
787,1
788,2
789,1
790,1
791,3
792,3
793,1
794,1
795,2
796,3
797,2
798,2
799,1
800,3
801,3
802,1
803,2
804,3
805,1
806,3
807,3
808,1
809,1
810,1
811,1
812,4
813,3
814,3
815,2
816,3
817,3
818,0
819,1
820,3
821,3
822,3
823,2
824,1
825,1
826,3
827,3
828,3
829,3
830,2
831,1
832,3
833,3
834,1
835,2
836,2
837,3
838,2
839,2
840,2
841,3
842,2
843,3
844,3
845,2
846,2
847,1
848,1
849,3
850,2
851,3
852,1
853,2
854,2
855,2
856,2
857,1
858,1
859,2
860,2
861,2
862,3
863,1
864,2
865,3
866,1
867,1
868,1
869,2
870,3
871,3
872,3
873,2
874,2
875,1
876,1
877,1
878,1
879,3
880,3
881,3
882,3
883,3
884,2
885,3
886,3
887,3
888,4
889,2
890,2
891,2
892,1
893,1
894,1
895,1
896,3
897,3
898,3
899,3
900,2
901,3
902,3
903,3
904,3
905,3
906,2
907,3
908,1
909,1
910,1
911,3
912,3
913,3
914,3
915,2
916,2
917,1
918,1
919,2
920,0
921,2
922,2
923,2
924,2
925,2
926,1
927,1
928,3
929,3
930,3
931,1
932,2
933,1
934,2
935,2
936,2
937,2
938,3
939,2
940,1
941,1
942,3
943,3
944,3
945,3
946,2
947,2
948,0
949,0
950,3
951,3
952,3
953,1
954,3
955,2
956,2
957,1
958,1
959,3
960,3
961,3
962,3
963,0
964,2
965,3
966,1
967,2
968,3
969,3
970,2
971,3
972,1
973,1
974,2
975,3
976,1
977,2
978,3
979,0
980,1
981,3
982,3
983,3
984,3
985,2
986,2
987,3
988,3
989,3
990,3
991,2
992,3
993,3
994,3
995,1
996,2
997,3
998,3
999,3
1000,3
1001,1
1002,2
1003,2
1004,2
1005,2
1006,2
1007,3
1008,3
1009,2
1010,2
1011,2
1012,2
1013,3
1014,3
1015,0
1016,0
1017,2
1018,1
1019,2
1020,2
1021,2
1022,2
1023,3
1024,3
1025,4
1026,2
1027,2
1028,3
1029,3
1030,3
1031,3
1032,4
1033,1
1034,1
1035,1
1036,2
1037,2
1038,2
1039,2
1040,1
1041,1
1042,1
1043,3
1044,3
1045,3
1046,2
1047,2
1048,2
1049,3
1050,4
1051,3
1052,3
1053,2
1054,4
1055,4
1056,1
1057,1
1058,1
1059,3
1060,3
1061,0
1062,1
1063,2
1064,1
1065,1
1066,3
1067,2
1068,1
1069,1
1070,1
1071,2
1072,4
1073,4
1074,2
1075,3
1076,2
1077,2
1078,2
1079,2
1080,2
1081,2
1082,2
1083,1
1084,3
1085,3
1086,3
1087,2
1088,2
